kernel;cache;Filename;c;gamma;time_seriell;variance_seriell;time_cuda;variance_cuda;speedup
2;10;tools/rand-e1024-v32768-0.0001.data;1;0.5;0.17;2.22222222222e-05;0.37;3.08148791102e-33;0.459459459459
2;10;tools/rand-e1024-v32768-0.001.data;1;0.5;0.31;0.0;0.37;3.08148791102e-33;0.837837837838
2;10;tools/rand-e1024-v32768-0.005.data;1;0.5;0.51;2.22222222222e-05;0.37;2.22222222222e-05;1.37837837838
2;10;tools/rand-e1024-v32768-0.01.data;1;0.5;0.8;2.22222222222e-05;0.37;2.22222222222e-05;2.16216216216
2;10;tools/rand-e1024-v32768-0.02.data;1;0.5;1.32;2.22222222222e-05;0.37;2.22222222222e-05;3.56756756757
2;10;tools/rand-e1024-v32768-0.03.data;1;0.5;1.87;0.0002;0.37;2.22222222222e-05;5.05405405405
2;10;tools/rand-e1024-v32768-0.04.data;1;0.5;2.37;0.0;0.37;3.08148791102e-33;6.40540540541
2;10;tools/rand-e1024-v32768-0.05.data;1;0.5;2.89;2.22222222222e-05;0.37;3.08148791102e-33;7.81081081081
2;10;tools/rand-e1024-v32768-0.06.data;1;0.5;3.4;0.000622222222222;0.37;2.22222222222e-05;9.18918918919
2;10;tools/rand-e1024-v32768-0.07.data;1;0.5;3.9;2.22222222222e-05;0.37;2.22222222222e-05;10.5405405405
2;10;tools/rand-e1024-v32768-0.08.data;1;0.5;4.42;0.0;0.38;3.08148791102e-33;11.6315789474
2;10;tools/rand-e1024-v32768-0.09.data;1;0.5;4.89;2.22222222222e-05;0.37;2.22222222222e-05;13.2162162162
2;10;tools/rand-e1024-v32768-0.1.data;1;0.5;5.39;0.0;0.37;2.22222222222e-05;14.5675675676
2;10;tools/rand-e1024-v32768-0.2.data;1;0.5;10.49;0.00246666666667;0.37;2.22222222222e-05;28.3513513514
2;10;tools/rand-e1024-v32768-0.3.data;1;0.5;15.49;6.66666666667e-05;0.37;2.22222222222e-05;41.8648648649
2;10;tools/rand-e1024-v32768-0.4.data;1;0.5;20.55;0.0112666666667;0.37;2.22222222222e-05;55.5405405405
2;10;tools/rand-e1024-v32768-0.5.data;1;0.5;37.94;0.00242222222222;0.58;2.22222222222e-05;65.4137931034
2;10;tools/rand-e1024-v32768-0.6.data;1;0.5;28.75;0.0156222222222;0.37;2.22222222222e-05;77.7027027027
2;10;tools/rand-e1024-v32768-0.7.data;1;0.5;30.06;0.0168222222222;0.37;2.22222222222e-05;81.2432432432
2;10;tools/rand-e1024-v32768-0.8.data;1;0.5;27.94;0.0152666666667;0.37;2.22222222222e-05;75.5135135135
2;10;tools/rand-e1024-v32768-0.9.data;1;0.5;22.79;0.0112666666667;0.37;2.22222222222e-05;61.5945945946
2;10;tools/rand-e1024-v32768-1.data;1;0.5;20.64;0.0038;0.36;2.22222222222e-05;57.3333333333
